"Page type"	"Age breast with all 7gr"	"Merge AJCC stage-breast"	"Sex"	"Origin recode NHIA (Hispanic, Non-Hisp)"	"Interval"	"Alive at Start"	"Died"	"Lost to Followup"	"Observed Survival (Interval)"	"Observed Survival (Cum)"	"Expected Survival (Interval)"	"Expected Survival (Cum)"	"Relative Survival (Interval)"	"Relative Survival (Cum)"	"Observed SE (Interval)"	"Observed SE (Cum)"	"Relative SE (Interval)"	"Relative SE (Cum)"
0	0	2	0	1	5	2411	126	170	0.94583	0.73353	0.99889	0.99525	0.94688	0.73703	0.00469	0.00758	0.00470	0.00761
0	0	2	0	1	6	2115	122	208	0.93933	0.68903	0.99880	0.99406	0.94046	0.69315	0.00532	0.00812	0.00533	0.00817
0	0	2	0	1	7	1785	73	169	0.95707	0.65945	0.99870	0.99276	0.95832	0.66426	0.00492	0.00848	0.00492	0.00854
0	0	2	0	1	8	1543	68	156	0.95358	0.62884	0.99859	0.99136	0.95493	0.63432	0.00550	0.00886	0.00550	0.00894
0	0	2	0	1	9	1319	49	123	0.96103	0.60434	0.99846	0.98984	0.96251	0.61054	0.00546	0.00918	0.00547	0.00927
0	0	2	0	1	10	1147	39	127	0.96401	0.58258	0.99833	0.98818	0.96562	0.58955	0.00566	0.00949	0.00567	0.00960
0	0	2	0	1	11	981	20	108	0.97843	0.57001	0.99817	0.98638	0.98022	0.57789	0.00477	0.00969	0.00478	0.00982
0	0	2	0	1	12	853	23	121	0.97098	0.55347	0.99800	0.98440	0.97292	0.56224	0.00596	0.01000	0.00598	0.01016
0	0	2	0	1	13	709	20	99	0.96967	0.53669	0.99781	0.98225	0.97180	0.54639	0.00668	0.01038	0.00669	0.01057
0	0	2	0	1	14	590	13	100	0.97593	0.52377	0.99762	0.97991	0.97826	0.53451	0.00660	0.01073	0.00661	0.01095
